product_id,total_revenue,cumsum_revenue,cumsum_percent,abc_class
24325,5688.0,5688.0,0.07200999290857275,A
24170,5400.0,11088.0,0.140373910226838,A
24447,5400.0,16488.0,0.2087378275451033,A
20233,4679.81982421875,21167.81982421875,0.26798427486496795,A
22812,4500.0,25667.81982421875,0.32495420596352237,A
7499,4500.0,30167.81982421875,0.3819241370620768,A
20420,4500.0,34667.81982421875,0.43889406816063115,A
8520,4500.0,39167.81982421875,0.4958639992591855,A
23702,4500.0,43667.81982421875,0.55283393035774,A
8398,4500.0,48167.81982421875,0.6098038614562943,A
26929,4499.250183105469,52667.07000732422,0.6667642998844447,A
26823,4185.0,56852.07000732422,0.7197463358061003,A
19061,4176.0,61028.07000732422,0.7726144318655588,A
7761,4170.0,65198.07000732422,0.8254065680168858,A
16045,3948.0,69146.07000732422,0.8753881875673509,A
8383,3900.0,73046.07000732422,0.9247621278527647,A
8313,3881.25,76927.32000732422,0.9738986934252678,A
27012,3675.0,80602.32000732422,1.0204241371557539,A
19956,3600.0,84202.32000732422,1.0660000820345974,A
24362,3600.0,87802.32000732422,1.111576026913441,A
24247,3600.0,91402.32000732422,1.1571519717922845,A
24059,3600.0,95002.32000732422,1.202727916671128,A
5052,3600.0,98602.32000732422,1.2483038615499715,A
24179,3600.0,102202.32000732422,1.293879806428815,A
20258,3600.0,105802.32000732422,1.3394557513076586,A
24037,3600.0,109402.32000732422,1.385031696186502,A
23857,3600.0,113002.32000732422,1.4306076410653454,A
20286,3600.0,116602.32000732422,1.476183585944189,A
21117,3600.0,120202.32000732422,1.5217595308230325,A
8694,3600.0,123802.32000732422,1.567335475701876,A
3129,3600.0,127402.32000732422,1.6129114205807198,A
24023,3600.0,131002.32000732422,1.658487365459563,A
24091,3599.8798828125,134602.19989013672,1.704061789656652,A
19793,3585.0,138187.19989013672,1.7494478347651672,A
28550,3557.400146484375,141744.6000366211,1.7944844661507677,A
19834,3540.0,145284.6000366211,1.8393008119482972,A
18612,3519.9598388671875,148804.55987548828,1.8838634496127284,A
21594,3507.0,152311.55987548828,1.9282620159155353,A
8672,3483.3599853515625,155794.91986083984,1.9723612999948552,A
21337,3432.0,159226.91986083984,2.0158103674460195,A
20275,3419.8200988769536,162646.7399597168,2.0591052375354577,A
21197,3384.0,166030.7399597168,2.1019466257215704,A
